Postal Code,Borough,Neighbourhood
D01,Dublin 1,North Inner City
D02,Dublin 2,South Inner City
D03,Dublin 3,"Clontarf, East Wall, Marino, Fairview"
D04,Dublin 4,"Ballsbridge, Donnybrook, Ringsend"
D05,Dublin 5,"Artane, Coolock, Kilbarrack, Raheny"
D06,Dublin 6,"Ranelagh, Rathmines, Rathgar"
D6W,Dublin 6W,"Harold's Cross, Kimmage, Terenure, Templeogue"
D07,Dublin 7,"Arbour Hill, Cabrea, Smithfield, Phibsboro, Stoneybatter"
D08,Dublin 8,"Inchicore, Islandbridge, Kilmainham, Portobello, Pheonix Park"
D09,Dublin 9,"Drumcondra, Santry, Whitehall, Beaumont"
D10,Dublin 10,Ballyfermot
D11,Dublin 11,"Ballymun, Finglas, Glasnevin"
D12,Dublin 12,"Bluebell, Crumlin, Drimnagh, Walkinstown"
D13,Dublin 13,"Baldoyle, Donaghmede, Howth, Sutton"
D14,Dublin 14,"Dundrum, Goatstown, Rathfarnham"
D15,Dublin 15,"Blanchardstown, Castleknock,Clonsilla, Corduff"
D16,Dublin 16,"Ballinteer, Knocklyon"
D17,Dublin 17,"Balgriffin, Darndale"
D18,Leopardstown,"Carrickmines, Sandyford, Foxrox"
D20,Dublin 20,"Chapelizod, Palmerstown"
D22,Clondalkin,Clondalkin
D24,Tallaght,Tallaght
K32,Balbriggan,Balbriggan
T12,Blackrock,Blackrock
K36,Swords,Donabate
A94,Dun Laoghaire/Rathdown,Dun Laoghaire
K36,Swords,Malahide
A94,Dun Laoghaire/Rathdown,Monkstown
A94,Dun Laoghaire/Rathdown,Stillorgan
K36,Swords,Swords